Ref,Val,Package,PosX,PosY,Rot,Side
"R71","R_0805_2012Metric","R_0805_2012Metric",62.000000,-41.000000,0.000000,top
"R73","R_0805_2012Metric","R_0805_2012Metric",68.000000,-41.000000,0.000000,top
"R74","R_0805_2012Metric","R_0805_2012Metric",72.000000,-35.500000,180.000000,top
"R81","R_0805_2012Metric","R_0805_2012Metric",88.000000,-65.000000,0.000000,top
"R82","R_0805_2012Metric","R_0805_2012Metric",26.000000,-102.000000,0.000000,top
"R84","R_0805_2012Metric","R_0805_2012Metric",32.000000,-102.000000,0.000000,top
"R85","R_0805_2012Metric","R_0805_2012Metric",76.000000,-45.000000,0.000000,top
"SW1","SW_Push_1P1T_NO_CK_KMR2","SW_Push_1P1T_NO_CK_KMR2",26.000000,-113.000000,0.000000,top
"SW2","SW_Push_1P1T_NO_CK_KMR2","SW_Push_1P1T_NO_CK_KMR2",32.000000,-113.000000,0.000000,top
"SW5","SW_SPDT_PCM12","SW_SPDT_PCM12",73.000000,-116.400000,0.000000,top
"SW6","SW_SPDT_PCM12","SW_SPDT_PCM12",6.000000,-116.400000,0.000000,top
"SW7","SW_SPDT_PCM12","SW_SPDT_PCM12",15.500000,-116.400000,0.000000,top
"U1","TSOT-23-6","TSOT-23-6",58.500000,-54.000000,0.000000,top
"U2","SSOP-24_5.3x8.2mm_P0.65mm","SSOP-24_5.3x8.2mm_P0.65mm",50.000000,-63.500000,0.000000,top
"U3","XIAO-nRF52840-Plus-SMD","XIAO-nRF52840-Plus-SMD",50.000000,-109.522500,-90.000000,top
"U7","SOT-23-6","SOT-23-6",81.000000,-54.000000,0.000000,top
